company_std,year_std,Company_Name,Sector,Industry,Ticker_Symbol,Year,Report_Type,Data_Source,ESG_Score_Composite,ESG_Rating_Grade,ESG_Percentile_Rank,Env_Score_Raw,Social_Score_Raw,Governance_Score_Raw,Data_Completeness_Pct,RI_Rating,RI_Numeric,Sust_Rating,Sust_Numeric,ROA,ROE,Log_Assets,Leverage,Net_Margin,ROA_Pct,ROE_Pct,Net_Income_NGN_m,Revenue_NGN_m,Total_Assets_NGN_m,Total_Equity_NGN_m,Total_Debt_NGN_m,EBITDA_NGN_m,Market_Cap_NGN_m,GHG_Scope1_tCO2e,GHG_Scope2_tCO2e,GHG_Scope3_tCO2e,GHG_Intensity,Energy_Consumed_GJ,Renewable_Energy_Pct,Water_Consumed_m3,Waste_Total_Tonnes,Waste_Recycled_Pct,Total_Employees,Female_Employees_Pct,Female_Board_Pct,Independent_Dir_Pct,Board_Size,Board_Meetings_pa,CEO_Chair_Separation,Anti_Corruption_Policy,GRI_Reporting,IFRS_S1_S2_Aligned,renewable_energy_flag,env_policy_flag,carbon_audit_flag,gri_302_flag,gri_305_flag,financial_inclusion_flag,gender_award_flag,ungc_signatory,nsbp_signatory,human_rights_policy_flag,board_eval_flag,sustainability_assurance,code_of_conduct_flag,anti_corruption_flag,data_privacy_flag,iso_certified
AIICO Insurance,2020,AIICO Insurance Plc,Banking & Finance,Composite Insurance,AIICO,2020,Annual Report,AIICO_2020.pdf,30.75,C,40.7,28.57,11.33,46.95,63.2,,,,,2.43,14.67,12.18757567,0,7.68,2.43,14.67,4764.596,61979.667,196334.608,32478.585,0,,,,,,,,,,,,565,,11.1,11.1,9,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
AIICO Insurance,2021,AIICO Insurance Plc,Banking & Finance,General and Life Insurance,AIICO,2021,Annual Report,AIICO_2021.pdf,29.31,D,38.2,14.29,20.31,47.34,64.9,,,,,2.21,12.81,12.31214673,0.873142276,6.96,2.21,12.81,4916.01,70655.05,222380.85,38374.25,33506.18,,,,,,,,,,,,,,11.11,11.11,9,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
AIICO Insurance,2022,AIICO Insurance Plc,Banking & Finance,Insurance,AIICO,2022,Annual Report,AIICO_2022.pdf,22.97,D,24.1,14.29,18.4,32.92,66.7,,,,,2.79,16.94,12.50739694,0.510963067,8.56,2.79,16.94,7552.836,88275.92,270329.52,44585.606,22781.598,,21597.11,,,,,,,,,,1452,,12.5,12.5,8,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AIICO Insurance,2023,AIICO Insurance Plc,Banking & Finance,Insurance,AIICO,2023,Annual Report,AIICO_2023.pdf,25.15,D,27.4,14.29,11.2,43.75,61.4,,,,,4.07,23.33,12.55830752,0.609821068,10.58,4.07,23.33,11571.055,109379.11,284448.506,49591.268,30241.8,,27820.01,,,,,,,,,,362,,11.11,11.11,9,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AIICO Insurance,2024,AIICO Insurance Plc,Banking & Finance,General Insurance / Life Insurance,AIICO,2024,Annual Report,AIICO_2024.pdf,28.72,D,35.7,14.29,22.3,44.35,63.2,,,,,3.63,22.48,12.93935774,0.789787986,13.95,3.63,22.48,15100.49,108238.93,416381.73,67157.96,53040.55,,52345.54,,,,,,,,,,493,,20,20,10,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AXA Mansard Insurance,2020,AXA Mansard Insurance Plc,Banking & Finance,Insurance,,2020,Annual Report,AXAMansard_2020.pdf,31.54,C,41.5,14.29,27.99,47.15,64.9,Below Average,2,,,4.81,13.38,11.45571703,0.088217673,9.54,4.81,13.38,4540.337,47583.434,94439.72,33942.87,2994.361,,,,,,,,,,,,282,43,12.5,12.5,8,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
AXA Mansard Insurance,2021,AXA Mansard Insurance Plc,Banking & Finance,Composite Insurance,,2021,Annual Report,AXAMansard_2021.pdf,33.04,C,44.4,14.29,18.65,57.91,64.9,Below Average,2,,,3.59,12.42,11.55276751,0.081608099,6.2,3.59,12.42,3735.165,60197.851,104064.639,30072.297,2454.143,,,,,,,,,,,,271,47,12.5,25,8,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
AXA Mansard Insurance,2023,AXA Mansard Insurance Plc,Banking & Finance,Insurance,,2023,Annual Report,AXAMansard_2023.pdf,39.23,C,52.3,28.57,31.16,53.27,63.2,Below Average,2,,,8.54,32.79,11.85742881,0.143071028,13.82,8.54,32.79,12048.664,87203.623,141128.882,36748.67,5257.67,,,,,,,,,,,,372,44,30,10,10,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
AXA Mansard Insurance,2024,AXA Mansard Insurance Plc,Banking & Finance,Composite Insurance (Life & Non-Life),,2024,Annual Report,AXAMansard_2024.pdf,41.06,C,56.4,42.86,20.7,54.98,63.2,Below Average,2,,,13.41,55.11,12.17359542,0.18898933,18.74,13.41,55.11,25965,138549.1,193608.9,47114.3,8904.1,,,,,,,,,,,,366,47,50,10,10,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Access Bank,2020,Access Bank Plc,Banking & Finance,Commercial Banking,,2020,Annual Report,AccessBank_2020.pdf,34.97,C,46.5,0,47.7,51.65,38.6,,,Medium (20-30),3,1.22,14.12,15.97650302,1.279044677,13.86,1.22,14.12,106009.69,764717.44,8679747.72,751041.24,960615.3,163450.45,300357.16,,,,,,,,,,6781,43,35.3,29.4,17,7,1,1,0,0,,,,,,,,,,,,,,,,
Access Bank,2021,Access Bank Plc,Banking & Finance,Commercial Banking,ACCESS,2021,Annual Report,AccessBank_2021.pdf,62.99,A,87.1,50,78.44,61.15,40.4,,,Medium (20-30),3,1.37,15.26,16.27782772,1.464488161,16.48,1.37,15.26,160215.536,971885.338,11731964.93,1050028.723,1537754.634,,330570.6,,,,,,,,,,6875,44,35.29,23.53,17,8,1,1,1,0,,,,,,,,,,,,,,,,
